SAMPID  ,   SMATSSCR  ,  SMCENTER  ,  SMPTHNTS  ,  SMRIN
GTEX-NL3H-0011-R1a-SM-2AXV7  ,   C1,  ,  A1  ,  6.6  ,  Brain
GTEX-NL3H-0011-R2a-SM-2AXWF  ,   C1,  ,  A1  ,  6.3  ,  Brain
GTEX-NL3H-0011-R2a-SM-2I3GG  ,   C1,  ,  A1  ,  6.3  ,  Brain
GTEX-NL3H-0011-R3a-SM-2AXW9  ,   C1,  ,  A1  ,  7.6  ,  Brain
GTEX-NL3H-0011-R3a-SM-2I3GL  ,   C1,  ,  A1  ,  7.6  ,  Brain
GTEX-NL3H-0011-R4a-SM-2AXW4  ,   C1,  ,  A1  ,  7  ,  Brain
GTEX-NL3H-0011-R4a-SM-2I3GK  ,   C1,  ,  A1  ,  7  ,  Brain
GTEX-NL3H-0011-R5a-SM-2AXVW  ,   C1,  ,  A1  ,  7.8  ,  Brain
GTEX-NL3H-0011-R5a-SM-2I3GB  ,   C1,  ,  A1  ,  7.8  ,  Brain
GTEX-NL3H-0011-R6a-SM-2AXVQ  ,   C1,  ,  A1  ,  8.4  ,  Brain
GTEX-NL3H-0011-R6a-SM-2I3G8  ,   C1,  ,  A1  ,  8.4  ,  Brain
GTEX-NL3H-0011-R7a-SM-2AXVL  ,   C1,  ,  A1  ,  7  ,  Brain
GTEX-NL3H-0011-R7a-SM-2I3G5  ,   C1,  ,  A1  ,  7  ,  Brain
GTEX-NL3H-0011-R8a-SM-2QU3M  ,   C1,  ,  A1  ,  7.1  ,  Brain
GTEX-NL3H-0011-R8a-SM-2YUNH  ,   C1,  ,  A1  ,  7.1  ,  Brain
GTEX-NL4W-0006-SM-2I3GH  ,   D1  ,  7  ,  Blood  ,  Whole
GTEX-NL4W-0006-SM-2IZIU  ,   D1  ,  7  ,  Blood  ,  Whole
GTEX-NL4W-0009-SM-2BWZB  ,   D1  ,  Blood  ,  Whole  ,  Blood
GTEX-NL4W-0009-SM-2XK1I  ,   D1  ,  Blood  ,  Whole  ,  Blood
GTEX-NL4W-0011-R10A-SM-2I3DY  ,   D1,  ,  A1  ,  6.1  ,  Brain
GTEX-NL4W-0011-R10A-SM-2IZHO  ,   D1,  ,  A1  ,  6.1  ,  Brain
GTEX-NL4W-0011-R11A-SM-2I3DW  ,   D1,  ,  A1  ,  5.5  ,  Brain
GTEX-NL4W-0011-R11A-SM-2IZHM  ,   D1,  ,  A1  ,  5.5  ,  Brain
GTEX-NL4W-0011-R1a-SM-2AXVC  ,   D1,  ,  A1  ,  5.4  ,  Brain
GTEX-NL4W-0011-R2a-SM-2AXV4  ,   D1,  ,  A1  ,  5.1  ,  Brain
GTEX-NL4W-0011-R2a-SM-2I5GV  ,   D1,  ,  A1  ,  5.1  ,  Brain
GTEX-NL4W-0011-R3a-SM-2AXWB  ,   D1,  ,  A1  ,  5.3  ,  Brain
GTEX-NL4W-0011-R4a-SM-2AXW6  ,   D1,  ,  A1  ,  5.9  ,  Brain
GTEX-NL4W-0011-R4a-SM-2I5GZ  ,   D1,  ,  A1  ,  5.9  ,  Brain
GTEX-NL4W-0011-R5a-SM-2AXVZ  ,   D1,  ,  A1  ,  7.5  ,  Brain
GTEX-NL4W-0011-R5a-SM-2I3GD  ,   D1,  ,  A1  ,  7.5  ,  Brain
GTEX-NL4W-0011-R6a-SM-2AXVS  ,   D1,  ,  A1  ,  7.2  ,  Brain
GTEX-NL4W-0011-R6a-SM-2I3GA  ,   D1,  ,  A1  ,  7.2  ,  Brain
GTEX-NL4W-0011-R8a-SM-2AXVI  ,   D1,  ,  A1  ,  6.5  ,  Brain
